,Unnamed: 0,Unnamed: 0.1,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Lat,Lon,Year
0,0,0,09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2.0,1.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",38.877461,-77.080828,1908
1,1,1,07/12/1912,06:30,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,,5.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",40.406303,-74.039908,1912
3,3,3,09/09/1913,18:30,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20.0,14.0,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,15.330371,39.035432,1913
4,4,4,10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30.0,30.0,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",52.445911,13.504547,1913
5,5,5,03/05/1915,01:00,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41.0,21.0,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,50.808432,4.946429,1915
6,6,6,09/03/1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19.0,19.0,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",53.86878,8.698286,1915
8,8,8,09/24/1916,01:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22.0,22.0,0.0,Shot down by British aircraft crashing in flames.,51.628957,0.419856,1916
9,9,9,10/01/1916,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,51.702588,-0.195565,1916
11,11,11,11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20.0,20.0,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,54.686826,-1.207832,1916
14,14,14,05/14/1917,05:15,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),,,21.0,21.0,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",,,1917
15,15,15,06/14/1917,08:45,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),,,24.0,24.0,0.0,Shot down by British aircraft.,40.93288,-72.41425,1917
16,16,16,08/21/1917,07:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18.0,18.0,0.0,Shot down by British aircraft.,55.645302,9.742882,1917
17,17,17,10/20/1917,07:45,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),,,18.0,18.0,0.0,Shot down by French anti-aircraft fire.,48.591616,6.491956,1917
18,18,18,04/07/1918,21:30,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,23.0,23.0,0.0,Exploded and crashed into the sea off the southern coast of Italy.,37.760585,30.390827,1918
20,20,20,08/11/1918,10:00,"Ameland Island, North Sea",Military - German Navy,,,Zeppelin L-53 (airship),,,19.0,19.0,0.0,Shot down by british aircraft.,40.93288,-72.41425,1918
96,96,96,09/03/1925,05:30,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43.0,14.0,0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",39.747851,-81.516513,1925
108,108,108,10/21/1926,13:15,English Channel,Imperial Airways,,,Handley Page W-10,G-EBMS,W10/3,12.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",49.723494,-3.794966,1926
119,119,119,08/22/1927,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",51.274522,0.196117,1927
